w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
4.978,420.269377854,493.095666605,570.70068021,401.349973781,388.71760566
4.98,420.267928663,492.834465757,570.741977513,401.362631643,388.737450179
4.982,420.266774018,492.573644844,570.7834501,401.375566982,388.757586031
4.984,420.265913919,492.313203864,570.825097972,401.388779798,388.778013213
4.986,420.265348367,492.053142819,570.866921127,401.402270093,388.798731727
4.988,420.265077362,491.793461708,570.908919566,401.416037864,388.819741573
4.99,420.265100903,491.534160531,570.951093289,401.430083114,388.84104275
4.992,420.26541899,491.275239288,570.993442296,401.444405841,388.862635258
4.994,420.266031624,491.01669798,571.035966587,401.459006045,388.884519097
4.996,420.266938805,490.758536605,571.078666162,401.473883728,388.906694268
4.998,420.268140531,490.500755165,571.121541021,401.489038887,388.929160771
5.0,420.269636805,490.243353659,571.164591164,401.504471525,388.951918604
5.002,420.271427624,489.986332087,571.207816591,401.52018164,388.974967769
5.004,420.273512991,489.729690449,571.251217301,401.536169232,388.998308266
5.006,420.275892903,489.473428746,571.294793296,401.552434302,389.021940094
5.008,420.278567363,489.217546976,571.338544575,401.56897685,389.045863253
5.01,420.281536368,488.962045141,571.382471137,401.585796875,389.070077744
5.012,420.28479992,488.70692324,571.426572984,401.602894378,389.094583566
5.014,420.288358019,488.452181273,571.470850114,401.620269359,389.119380719
5.016,420.292210664,488.19781924,571.515302529,401.637921817,389.144469204
5.018,420.296357856,487.943837141,571.559930227,401.655851752,389.16984902
5.02,420.300799594,487.690234977,571.604733209,401.674059166,389.195520168
5.022,420.305535878,487.437012747,571.649711476,401.692544056,389.221482647
5.024,420.310566709,487.18417045,571.694865026,401.711306425,389.247736457
5.026,420.315892087,486.931708088,571.74019386,401.730346271,389.274281599
5.028,420.321512011,486.679625661,571.785697978,401.749663594,389.301118072
5.03,420.327426481,486.427923167,571.83137738,401.769258396,389.328245876
5.032,420.333635498,486.176600607,571.877232066,401.789130674,389.355665012
5.034,420.340139061,485.925657982,571.923262036,401.809280431,389.383375479
5.036,420.346937171,485.675095291,571.96946729,401.829707665,389.411377278
5.038,420.354029827,485.424912534,572.015847828,401.850412376,389.439670408
5.04,420.36141703,485.175109711,572.06240365,401.871394565,389.468254869
5.042,420.369098779,484.925686822,572.109134756,401.892654232,389.497130662
5.044,420.377075075,484.676643868,572.156041145,401.914191377,389.526297787
5.046,420.385345917,484.427980847,572.203122819,401.936005998,389.555756242
5.048,420.393911306,484.179697761,572.250379777,401.958098098,389.585506029
5.05,420.402771241,483.931794609,572.297812018,401.980467675,389.615547147
5.052,420.411925722,483.684271391,572.345419544,402.00311473,389.645879597
5.054,420.42137475,483.437128107,572.393202353,402.026039262,389.676503378
5.056,420.431118325,483.190364758,572.441160447,402.049241272,389.707418491
5.058,420.441156446,482.943981342,572.489293824,402.072720759,389.738624935
5.06,420.451489113,482.697977861,572.537602485,402.096477724,389.77012271
5.062,420.462116327,482.452354314,572.586086431,402.120512167,389.801911817
5.064,420.473038088,482.207110701,572.63474566,402.144824087,389.833992255
5.066,420.484254395,481.962247022,572.683580173,402.169413485,389.866364024
5.068,420.495765248,481.717763278,572.73258997,402.194280361,389.899027125
5.07,420.507570648,481.473659467,572.781775051,402.219424714,389.931981557
5.072,420.519670594,481.229935591,572.831135416,402.244846544,389.965227321
5.074,420.532065087,480.986591649,572.880671065,402.270545852,389.998764416
5.076,420.544754126,480.743627641,572.930381998,402.296522638,390.032592842
5.078,420.557737712,480.501043567,572.980268215,402.322776902,390.0667126
5.08,420.571015844,480.258839427,573.030329716,402.349308642,390.101123689
5.082,420.584588523,480.017015222,573.080566501,402.376117861,390.13582611
5.084,420.598455748,479.775570951,573.130978569,402.403204557,390.170819862
5.086,420.612617519,479.534506613,573.181565922,402.430568731,390.206104945
5.088,420.627073837,479.29382221,573.232328559,402.458210382,390.24168136
5.09,420.641824702,479.053517742,573.283266479,402.486129511,390.277549106
5.092,420.656870113,478.813593207,573.334379684,402.514326118,390.313708183
5.094,420.67221007,478.574048606,573.385668172,402.542800202,390.350158592
5.096,420.687844574,478.33488394,573.437131945,402.571551763,390.386900332
5.098,420.703773625,478.096099208,573.488771001,402.600580803,390.423933404
5.1,420.719997222,477.85769441,573.540585342,402.62988732,390.461257807
5.102,420.736515365,477.619669546,573.592574966,402.659471314,390.498873541
5.104,420.753328055,477.382024616,573.644739874,402.689332786,390.536780607
5.106,420.770435291,477.144759621,573.697080066,402.719471736,390.574979004
5.108,420.787837074,476.907874559,573.749595542,402.749888163,390.613468733
5.11,420.805533403,476.671369432,573.802286302,402.780582068,390.652249793
5.112,420.823524279,476.435244239,573.855152347,402.81155345,390.691322184
5.114,420.841809701,476.19949898,573.908193674,402.84280231,390.730685907
5.116,420.86038967,475.964133655,573.961410286,402.874328648,390.770340961
5.118,420.879264185,475.729148265,574.014802182,402.906132463,390.810287346
5.12,420.898433247,475.494542808,574.068369362,402.938213756,390.850525063
5.122,420.917896855,475.260317286,574.122111826,402.970572526,390.891054111
5.124,420.937655009,475.026471698,574.176029574,403.003208774,390.931874491
5.126,420.95770771,474.793006044,574.230122605,403.036122499,390.972986202
5.128,420.978054958,474.559920324,574.284390921,403.069313703,391.014389244
5.13,420.998696752,474.327214539,574.338834521,403.102782383,391.056083618
5.132,421.019633092,474.094888687,574.393453404,403.136528542,391.098069323
5.134,421.040863979,473.86294277,574.448247572,403.170552178,391.14034636
5.136,421.062389412,473.631376787,574.503217023,403.204853291,391.182914728
5.138,421.084209392,473.400190738,574.558361758,403.239431882,391.225774427
5.14,421.106323919,473.169384623,574.613681778,403.274287951,391.268925458
5.142,421.128732991,472.938958443,574.669177081,403.309421497,391.31236782
5.144,421.151436611,472.708912196,574.724847668,403.344832521,391.356101514
5.146,421.174434776,472.479245884,574.780693539,403.380521022,391.400126539
5.148,421.197727489,472.249959506,574.836714695,403.416487001,391.444442895
5.15,421.221314747,472.021053062,574.892911134,403.452730458,391.489050582
5.152,421.245196552,471.792526552,574.949282857,403.489251392,391.533949602
5.154,421.269372904,471.564379976,575.005829864,403.526049804,391.579139952
5.156,421.293843802,471.336613335,575.062552155,403.563125693,391.624621634
5.158,421.318609247,471.109226627,575.11944973,403.60047906,391.670394647
5.16,421.343669238,470.882219854,575.176522588,403.638109905,391.716458992
5.162,421.369023775,470.655593015,575.233770731,403.676018227,391.762814668
5.164,421.394672859,470.42934611,575.291194158,403.714204027,391.809461675
5.166,421.42061649,470.20347914,575.348792869,403.752667304,391.856400014
5.168,421.446854667,469.977992103,575.406566863,403.791408059,391.903629684
5.17,421.47338739,469.752885001,575.464516142,403.830426292,391.951150685
5.172,421.50021466,469.528157832,575.522640704,403.869722002,391.998963018
5.174,421.527336476,469.303810598,575.580940551,403.90929519,392.047066682
5.176,421.554752839,469.079843298,575.639415681,403.949145855,392.095461678
5.178,421.582463748,468.856255933,575.698066096,403.989273998,392.144148005
5.18,421.610469204,468.633048501,575.756891794,404.029679618,392.193125664
5.182,421.638769206,468.410221004,575.815892776,404.070362716,392.242394653
5.184,421.667363755,468.18777344,575.875069043,404.111323292,392.291954975
